,loudness,acousticness,tempo,energy,danceability
593,-7.658,0.0334,94.024,0.736,0.646
594,-10.106,0.69,64.247,0.206,0.349
596,-6.537,0.697,132.251,0.536,0.612
597,-8.846,0.38,138.059,0.459,0.629
601,-2.22,0.0316,147.853,0.681,0.485
604,-8.899,0.051,100.044,0.64,0.766
605,-6.633,0.0775,96.024,0.664,0.788
607,-3.264,0.04,99.031,0.955,0.462
610,-5.044,0.442,110.978,0.615,0.793
611,-7.704,0.216,109.954,0.433,0.754
612,-6.041,0.131,112.074,0.626,0.723
615,-7.473,0.731,160.07,0.593,0.735
616,-11.141,0.845,109.239,0.436,0.656
617,-9.021,0.789,148.009,0.391,0.524
619,-9.954,0.81,119.654,0.25,0.642
621,-8.81,0.768,143.875,0.431,0.561
623,-6.935,0.601,144.21,0.444,0.484
624,-8.247,0.765,104.952,0.389,0.691
625,-6.655,0.132,148.869,0.596,0.71
627,-6.983,0.697,95.072,0.528,0.794
628,-8.501,0.0356,129.951,0.531,0.793
629,-4.704,0.023,106.032,0.848,0.815
631,-5.889,0.371,144.961,0.816,0.614
632,-8.529,0.578,93.17,0.45,0.415
633,-8.529,0.578,93.17,0.45,0.415
635,-8.964,0.00772,138.023,0.371,0.76
636,-7.065,0.306,96.001,0.388,0.65
637,-6.464,0.144,158.061,0.746,0.57
640,-7.174,0.572,144.565,0.383,0.519
641,-8.914,0.242,136.029,0.415,0.74
642,-3.28,0.0261,89.977,0.685,0.55
650,-12.053,0.828,147.965,0.497,0.607
652,-7.305,0.452,94.992,0.547,0.809
654,-10.818,0.94,120.132,0.376,0.746
657,-3.036,0.0264,121.086,0.732,0.744
658,-12.309,0.0577,122.031,0.509,0.723
659,-5.336,0.0466,101.024,0.778,0.71
660,-8.834,0.658,139.859,0.478,0.649
661,-13.311,0.753,142.875,0.275,0.468
663,-9.574,0.612,97.032,0.454,0.7
666,-7.825,0.41,149.993,0.573,0.626
667,-5.044,0.335,166.928,0.664,0.563
668,-3.586,0.00127,124.937,0.97,0.81
669,-7.567,0.0874,121.955,0.491,0.818
670,-3.588,0.0204,125.077,0.785,0.704
671,-4.037,0.099,123.019,0.722,0.798
672,-10.733,0.87,122.079,0.334,0.559
673,-8.788,0.824,139.845,0.338,0.462
674,-7.062,0.0346,83.509,0.4,0.73
676,-7.961,0.274,160.004,0.605,0.733
677,-6.221,0.278,127.052,0.392,0.909
678,-7.539,0.181,119.983,0.54,0.8
679,-9.446,0.331,121.964,0.396,0.681
680,-8.914,0.337,143.121,0.465,0.543
682,-10.194,0.365,85.898,0.361,0.359
683,-12.199,0.904,100.092,0.311,0.611
684,-11.137,0.891,75.96,0.335,0.496
685,-5.82,0.434,91.973,0.596,0.794
686,-3.512,0.0995,90.021,0.683,0.623
688,-11.152,0.893,82.878,0.209,0.347
689,-4.152,0.236,155.935,0.639,0.459
690,-14.13,0.768,169.913,0.225,0.724
693,-8.737,0.815,120.005,0.28,0.641
694,-8.737,0.815,120.005,0.28,0.641
695,-9.343,0.771,154.163,0.359,0.535
696,-5.737,0.0106,139.972,0.704,0.666
698,-5.05,0.652,150.073,0.522,0.637
700,-7.275,0.0273,115.935,0.544,0.706
703,-7.512,0.0387,124.075,0.726,0.668
705,-8.206,0.0604,94.054,0.451,0.607
706,-15.494,0.951,118.589,0.193,0.575
707,-7.859,0.00383,92.025,0.695,0.675
711,-4.317,0.677,169.982,0.629,0.807
714,-5.006,0.0416,103.103,0.838,0.621
715,-11.973,0.845,94.853,0.29,0.677
716,-8.755,0.611,144.871,0.5,0.63
717,-5.45,0.481,139.751,0.694,0.58
718,-5.613,0.144,82.992,0.628,0.666
726,-7.113,0.147,149.125,0.544,0.674
727,-5.918,0.0263,110.999,0.798,0.621
728,-17.212,0.697,142.912,0.28,0.739
729,-9.501,0.756,75.011,0.471,0.716
730,-6.214,0.0106,129.897,0.664,0.524
731,-9.832,0.529,123.851,0.45,0.616
732,-12.716,0.463,123.996,0.347,0.521
734,-6.334,0.198,163.929,0.575,0.695
736,-14.475,0.0099,161.76,0.546,0.544
737,-7.98,0.807,100.102,0.552,0.669
738,-4.449,0.0196,141.944,0.723,0.708
739,-8.384,0.391,88.008,0.654,0.542
740,-6.354,0.0811,171.997,0.68,0.474
741,-5.807,0.000291,122.031,0.703,0.591
743,-8.688,0.399,78.244,0.636,0.576
745,-8.324,0.645,145.022,0.56,0.723
746,-4.72,0.0036,163.97,0.643,0.484
748,-5.346,0.074,143.036,0.538,0.628
753,-7.68,0.0166,138.054,0.404,0.639
754,-7.846,0.0151,138.065,0.392,0.642
760,-9.376,0.0188,129.399,0.396,0.646
761,-7.064,0.153,114.988,0.677,0.686
763,-10.109,0.934,115.284,0.296,0.351
764,-8.18,0.432,117.901,0.494,0.752
767,-8.421,0.597,156.995,0.533,0.641
769,-3.827,0.437,105.137,0.609,0.623
770,-5.721,0.000674,161.104,0.792,0.608
771,-4.594,0.0488,100.041,0.679,0.742
772,-4.816,0.0204,117.97,0.592,0.617
773,-13.501,0.808,126.072,0.206,0.734
774,-9.751,0.847,90.046,0.605,0.677
775,-7.991,0.856,84.882,0.281,0.705
776,-7.461,0.0426,171.349,0.855,0.544
777,-8.864,0.199,101.922,0.486,0.754
779,-11.257,0.627,92.031,0.501,0.735
781,-4.98,0.568,79.973,0.707,0.565
784,-5.134,0.00473,124.939,0.675,0.731
785,-7.966,0.241,159.964,0.521,0.643
788,-10.488,0.201,115.087,0.517,0.821
789,-7.264,0.465,78.949,0.454,0.579
790,-6.631,0.0992,101.026,0.74,0.658
792,-14.561,0.627,75.025,0.346,0.689
794,-14.509,0.744,151.659,0.291,0.569
799,-7.647,0.475,119.948,0.545,0.788
801,-6.348,0.417,89.827,0.521,0.458
802,-5.988,0.372,102.029,0.579,0.734
806,-11.229,0.243,99.073,0.46,0.742
809,-4.998,0.0847,154.937,0.741,0.656
811,-5.719,0.0633,159.987,0.527,0.515
812,-15.855,0.883,110.421,0.108,0.569
813,-4.771,0.468,144.015,0.802,0.737
817,-2.842,0.0262,84.947,0.888,0.403
819,-12.63,0.742,139.971,0.264,0.704
820,-13.952,0.791,119.908,0.474,0.58
821,-6.098,0.00663,97.019,0.712,0.717
822,-5.905,0.318,140.013,0.593,0.666
824,-10.513,0.103,100.004,0.407,0.744
825,-8.006,0.137,136.014,0.622,0.741
826,-6.136,0.124,159.801,0.52,0.585
829,-6.975,0.225,130.03,0.539,0.862
830,-6.068,0.32,155.08,0.593,0.64
831,-15.138,0.736,140.591,0.119,0.448
833,-9.561,0.902,92.016,0.415,0.71
836,-8.295,0.551,79.963,0.338,0.667
837,-4.33,0.296,105.01,0.448,0.822
840,-7.157,0.454,80.003,0.534,0.55
842,-8.364,0.685,126.943,0.421,0.732
843,-8.902,0.817,90.003,0.431,0.658
844,-8.079,0.595,104.991,0.364,0.589
845,-6.279,0.597,85.042,0.423,0.68
846,-10.636,0.817,92.999,0.41,0.753
849,-5.366,0.0193,97.0,0.794,0.596
850,-12.924,0.615,109.904,0.299,0.434
851,-8.721,0.0899,106.871,0.525,0.679
852,-8.088,0.764,111.588,0.578,0.535
854,-5.938,0.083,154.626,0.836,0.506
855,-7.992,0.744,118.057,0.469,0.772
857,-7.621,0.233,145.156,0.523,0.521
860,-5.664,0.00939,150.032,0.79,0.622
861,-8.317,0.435,138.035,0.353,0.776
862,-9.016,0.112,83.97,0.524,0.653
864,-7.883,0.42,108.026,0.408,0.703
866,-6.038,0.0101,110.066,0.596,0.674
867,-9.687,0.777,152.067,0.402,0.579
870,-12.499,0.732,77.971,0.202,0.441
873,-4.603,0.578,109.991,0.474,0.707
